graph,algorithm,repetition,best_weight,runtime,candidates,improvements,duplicates,infeasible,stopping_reason
graph_n5_d25_adj_matrix,random,0,322.95,2.000012226999388,2,2,556521,0,time_limit
graph_n5_d25_adj_matrix,random,1,322.95,2.000017045000277,2,1,555883,0,time_limit
graph_n5_d25_adj_matrix,random,2,322.95,2.0000133419998747,2,2,556546,0,time_limit
graph_n5_d25_adj_matrix,greedy,0,322.95,2.000020814000891,2,1,530489,0,time_limit
graph_n5_d25_adj_matrix,greedy,1,322.95,2.000017250999008,2,1,507007,0,time_limit
graph_n5_d25_adj_matrix,greedy,2,322.95,2.0000147339997056,2,1,539354,0,time_limit
graph_n5_d25_adj_matrix,local,0,322.95,2.0006921220010554,1,1,1734,0,time_limit
graph_n5_d25_adj_matrix,local,1,322.95,2.000256798999544,1,1,1767,0,time_limit
graph_n5_d25_adj_matrix,local,2,322.95,2.00009183200018,1,1,1750,0,time_limit
graph_n12_d12.5_adj_matrix,random,0,1108.23,2.0000196830005734,8,3,308949,0,time_limit
graph_n12_d12.5_adj_matrix,random,1,973.5999999999999,2.0000191899998754,32,3,308899,0,time_limit
graph_n12_d12.5_adj_matrix,random,2,1108.23,2.000014157998521,9,2,308214,0,time_limit
graph_n12_d12.5_adj_matrix,greedy,0,1108.23,2.0000182050007425,1,1,304841,0,time_limit
graph_n12_d12.5_adj_matrix,greedy,1,1108.23,2.0000144990008266,1,1,302360,0,time_limit
graph_n12_d12.5_adj_matrix,greedy,2,1108.23,2.0000154030003614,1,1,306768,0,time_limit
graph_n12_d12.5_adj_matrix,local,0,1108.23,2.0015446429988515,1,1,980,0,time_limit
graph_n12_d12.5_adj_matrix,local,1,1108.23,2.001162675998785,1,1,1036,0,time_limit
graph_n12_d12.5_adj_matrix,local,2,1108.23,2.001883781998913,1,1,1021,0,time_limit
graph_n12_d25_adj_matrix,random,0,1564.87,2.0000266280003416,104,6,265708,0,time_limit
graph_n12_d25_adj_matrix,random,1,1597.49,2.0000275999991572,97,2,236206,0,time_limit
graph_n12_d25_adj_matrix,random,2,1582.24,2.0000325530018017,160,7,265108,0,time_limit
graph_n12_d25_adj_matrix,greedy,0,1597.49,2.00001690299905,8,3,230016,0,time_limit
graph_n12_d25_adj_matrix,greedy,1,1597.49,2.000014591998479,6,2,230186,0,time_limit
graph_n12_d25_adj_matrix,greedy,2,1597.49,2.0000145849990076,6,2,269677,0,time_limit
graph_n12_d25_adj_matrix,local,0,1597.49,2.0021185469995544,4,2,917,0,time_limit
graph_n12_d25_adj_matrix,local,1,1597.49,2.0013843680007994,4,1,909,0,time_limit
graph_n12_d25_adj_matrix,local,2,1597.49,2.0008064240009844,4,1,920,0,time_limit
graph_n12_d50_adj_matrix,random,0,1974.08,0.006983780000155093,400,2,150,0,max_candidates
graph_n12_d50_adj_matrix,random,1,1809.54,2.000034882001273,243,9,193266,0,time_limit
graph_n12_d50_adj_matrix,random,2,1797.38,0.006449702999816509,400,7,24,0,max_candidates
graph_n12_d50_adj_matrix,greedy,0,1793.22,2.0000226510001085,59,3,168787,0,time_limit
graph_n12_d50_adj_matrix,greedy,1,1970.23,2.000027461999707,50,6,142678,0,time_limit
graph_n12_d50_adj_matrix,greedy,2,1970.23,2.00002927100104,74,6,148054,0,time_limit
