graph,algorithm,repetition,best_weight,runtime,candidates,improvements,duplicates,infeasible,stopping_reason
graph_n12_d50_adj_matrix,random,0,1974.08,0.006650122999417363,400,6,80,0,max_candidates
graph_n12_d50_adj_matrix,random,1,1974.08,0.006160323000585777,400,2,43,0,max_candidates
graph_n12_d50_adj_matrix,random,2,1974.08,0.007030410999504966,400,8,93,0,max_candidates
graph_n12_d50_adj_matrix,greedy,0,1826.78,2.0000246440013143,47,5,159465,0,time_limit
graph_n12_d50_adj_matrix,greedy,1,1970.23,2.000019834000341,46,10,151653,0,time_limit
graph_n12_d50_adj_matrix,greedy,2,1793.22,2.0000271760000032,66,5,170019,0,time_limit
graph_n12_d50_adj_matrix,local,0,1974.08,2.001324286000454,39,4,966,0,time_limit
graph_n12_d50_adj_matrix,local,1,1974.08,2.0023794640001142,54,2,788,0,time_limit
graph_n12_d50_adj_matrix,local,2,1974.08,2.0016765849995863,71,6,694,0,time_limit
graph_n6_d75_adj_matrix,random,0,1179.1399999999999,2.0000317510002787,32,2,314360,0,time_limit
graph_n6_d75_adj_matrix,random,1,1179.1399999999999,2.000019606999558,26,5,281891,0,time_limit
graph_n6_d75_adj_matrix,random,2,801.03,2.000025411000024,33,3,324603,0,time_limit
graph_n6_d75_adj_matrix,greedy,0,1179.1399999999999,2.0000143849993037,1,1,306794,0,time_limit
graph_n6_d75_adj_matrix,greedy,1,1179.1399999999999,2.000017676000425,1,1,331496,0,time_limit
graph_n6_d75_adj_matrix,greedy,2,1179.1399999999999,2.0000161480002134,1,1,302927,0,time_limit
graph_n6_d75_adj_matrix,local,0,1179.1399999999999,2.0014840210005787,1,1,1085,0,time_limit
graph_n6_d75_adj_matrix,local,1,1179.1399999999999,2.000229531000514,1,1,1105,0,time_limit
graph_n6_d75_adj_matrix,local,2,1179.1399999999999,2.0012458769997465,1,1,1147,0,time_limit
graph_n9_d12.5_adj_matrix,random,0,838.3199999999999,2.000014994000594,4,1,449911,0,time_limit
graph_n9_d12.5_adj_matrix,random,1,838.3199999999999,2.0000124180005514,4,3,440700,0,time_limit
graph_n9_d12.5_adj_matrix,random,2,838.3199999999999,2.0000193409996427,4,3,391870,0,time_limit
graph_n9_d12.5_adj_matrix,greedy,0,838.3199999999999,2.0000176029989234,1,1,391705,0,time_limit
graph_n9_d12.5_adj_matrix,greedy,1,838.3199999999999,2.0000190080008906,1,1,388880,0,time_limit
graph_n9_d12.5_adj_matrix,greedy,2,838.3199999999999,2.0000202039991564,1,1,412703,0,time_limit
graph_n9_d12.5_adj_matrix,local,0,838.3199999999999,2.0006185459988046,1,1,1250,0,time_limit
graph_n9_d12.5_adj_matrix,local,1,838.3199999999999,2.000384025999665,1,1,1207,0,time_limit
graph_n9_d12.5_adj_matrix,local,2,838.3199999999999,2.0004670759990404,1,1,1270,0,time_limit
graph_n8_d75_adj_matrix,random,0,1782.14,2.0000339950001944,139,11,215809,0,time_limit
graph_n8_d75_adj_matrix,random,1,1747.96,2.00002820500049,110,7,255929,0,time_limit
graph_n8_d75_adj_matrix,random,2,1362.46,2.000025559998903,54,2,250167,0,time_limit
graph_n8_d75_adj_matrix,greedy,0,1530.79,2.0000214470001083,8,2,238870,0,time_limit
graph_n8_d75_adj_matrix,greedy,1,1782.14,2.0000276709997706,6,1,226577,0,time_limit
graph_n8_d75_adj_matrix,greedy,2,1530.79,2.000019577000785,8,2,214817,0,time_limit
graph_n8_d75_adj_matrix,local,0,1782.14,2.001424591999239,6,1,831,0,time_limit
graph_n8_d75_adj_matrix,local,1,1782.14,2.0006371330000547,5,1,809,0,time_limit
graph_n8_d75_adj_matrix,local,2,1782.14,2.0019818040000246,5,1,846,0,time_limit
graph_n4_d75_adj_matrix,random,0,452.48,2.0000168139995367,4,3,420240,0,time_limit
graph_n4_d75_adj_matrix,random,1,597.82,2.0000159139999596,3,1,403558,0,time_limit
graph_n4_d75_adj_matrix,random,2,452.48,2.0000153630007844,4,2,444967,0,time_limit
graph_n4_d75_adj_matrix,greedy,0,452.48,2.0000164180000866,2,2,407596,0,time_limit
graph_n4_d75_adj_matrix,greedy,1,452.48,2.0000148890012497,2,2,424597,0,time_limit
graph_n4_d75_adj_matrix,greedy,2,452.48,2.00001377999979,2,2,447935,0,time_limit
graph_n4_d75_adj_matrix,local,0,597.82,2.000567492999835,1,1,1224,0,time_limit
graph_n4_d75_adj_matrix,local,1,597.82,2.0011406220000936,1,1,1123,0,time_limit
graph_n4_d75_adj_matrix,local,2,597.82,2.0012632010002562,1,1,1177,0,time_limit
graph_n19_d25_adj_matrix,random,0,2386.15,2.0000488700006827,239,3,142562,0,time_limit
graph_n19_d25_adj_matrix,random,1,2518.69,2.0000557219991606,206,5,144607,0,time_limit
graph_n19_d25_adj_matrix,random,2,2533.2,0.011705621000146493,400,5,1,0,max_candidates
graph_n19_d25_adj_matrix,greedy,0,2765.51,2.000057265999203,259,7,115962,0,time_limit
graph_n19_d25_adj_matrix,greedy,1,2765.51,2.0000705439997546,386,6,124791,0,time_limit
graph_n19_d25_adj_matrix,greedy,2,2678.11,2.000053090001529,250,4,136492,0,time_limit
graph_n19_d25_adj_matrix,local,0,2769.23,2.003267006000897,153,10,424,0,time_limit
graph_n19_d25_adj_matrix,local,1,2769.23,2.0019826240004477,111,2,479,0,time_limit
graph_n19_d25_adj_matrix,local,2,2769.23,2.002593186998638,149,3,442,0,time_limit
graph_n14_d50_adj_matrix,random,0,2388.29,0.007587051000882639,400,9,4,0,max_candidates
graph_n14_d50_adj_matrix,random,1,2363.24,2.000047531999371,228,6,137698,0,time_limit
graph_n14_d50_adj_matrix,random,2,2412.81,0.008498208000673912,400,7,11,0,max_candidates
graph_n14_d50_adj_matrix,greedy,0,2474.65,2.000056130000303,182,7,108840,0,time_limit
graph_n14_d50_adj_matrix,greedy,1,2474.65,2.000046987001042,121,4,104350,0,time_limit
graph_n14_d50_adj_matrix,greedy,2,2324.2200000000003,2.000035401000787,178,3,130991,0,time_limit
graph_n14_d50_adj_matrix,local,0,2474.65,2.002935727001386,177,5,468,0,time_limit
graph_n14_d50_adj_matrix,local,1,2409.17,2.000389163998989,73,3,690,0,time_limit
graph_n14_d50_adj_matrix,local,2,2474.65,2.0019558620006137,208,4,482,0,time_limit
graph_n9_d50_adj_matrix,random,0,1023.9,2.0000268389994744,60,5,236116,0,time_limit
graph_n9_d50_adj_matrix,random,1,1143.0,2.000038090000089,137,4,216999,0,time_limit
graph_n9_d50_adj_matrix,random,2,1143.0,2.0000380969995604,70,3,219861,0,time_limit
graph_n9_d50_adj_matrix,greedy,0,1143.0,2.0000175009990926,3,2,236344,0,time_limit
graph_n9_d50_adj_matrix,greedy,1,1143.0,2.0000184860000445,3,1,267856,0,time_limit
graph_n9_d50_adj_matrix,greedy,2,1143.0,2.000015349000023,3,1,269098,0,time_limit
graph_n9_d50_adj_matrix,local,0,1143.0,2.0022268960001384,2,1,1014,0,time_limit
graph_n9_d50_adj_matrix,local,1,1143.0,2.0010122149997187,3,1,1031,0,time_limit
graph_n9_d50_adj_matrix,local,2,1143.0,2.0012017720000586,3,1,1020,0,time_limit
graph_n17_d12.5_adj_matrix,random,0,2074.9,2.0000250860011874,89,7,255040,0,time_limit
graph_n17_d12.5_adj_matrix,random,1,2074.9,2.0000327050001943,80,4,244344,0,time_limit
graph_n17_d12.5_adj_matrix,random,2,2074.9,2.0000209789996006,76,1,237663,0,time_limit
graph_n17_d12.5_adj_matrix,greedy,0,1962.68,2.0000161659991136,9,1,243516,0,time_limit
